Merge_scenario, Total_Files, Files_Edited_By_One_Dev, Files_That_Remained_The_Same, Files_Added_By_Ove_Dev, Files_Merged, Files_With_Conflicts, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
rev_6b936-08085, 613, 3, 584, 25, 26, 26, 43, 21, 0, 0, 0, 0, 0, 0, 17, 7, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 11, 5, 0, 0, 630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_200b6-a6b39, 611, 3, 586, 21, 22, 22, 39, 19, 0, 0, 0, 0, 0, 0, 16, 7, 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 41, 41, 0, 0, 0, 0, 0, 0, 11, 5, 0, 0, 582, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_a3a7e-e4046, 609, 3, 588, 17, 18, 18, 34, 16, 0, 0, 0, 0, 0, 0, 14, 6, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 39, 39, 0, 0, 0, 0, 0, 0, 11, 5, 0, 0, 543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_923ea-817fb, 607, 3, 590, 13, 14, 14, 26, 10, 0, 0, 0, 0, 0, 0, 11, 4, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 23, 23, 0, 0, 0, 0, 0, 0, 10, 4, 0, 0, 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_21b67-e679d, 604, 1, 591, 11, 12, 12, 13, 7, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_c0b01-fbaa5, 601, 1, 593, 6, 7, 7, 7, 4, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_a2a46-f4d46, 599, 0, 595, 3, 4, 4, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 7, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_4e0ce-0f19e, 672, 246, 220, 205, 206, 206, 320, 159, 0, 0, 0, 0, 0, 0, 81, 41, 0, 0, 1395, 0, 0, 0, 0, 0, 0, 0, 214, 214, 0, 0, 7, 7, 0, 0, 131, 63, 0, 0, 2775, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0
rev_83407-682f4, 690, 239, 298, 143, 153, 151, 205, 87, 0, 0, 0, 0, 0, 0, 39, 17, 0, 0, 876, 0, 0, 0, 0, 0, 0, 0, 120, 120, 0, 0, 6, 6, 0, 0, 91, 38, 0, 0, 2251, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0
rev_7a857-ceff9, 669, 108, 460, 99, 101, 101, 157, 64, 0, 0, 0, 0, 0, 0, 32, 14, 0, 0, 621, 0, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 0, 0, 0, 65, 26, 0, 0, 1531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
