Merge_scenario, Total_Files, Files_Edited_By_One_Dev, Files_That_Remained_The_Same, Files_Added_By_Ove_Dev, Files_Merged, Files_With_Conflicts, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
rev_df29b-0abd6, 5623, 108, 5506, 6, 9, 9, 11, 6, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 9, 9, 0, 0, 5, 1, 0, 0, 192, 0, 0, 0, 0, 0, 0, 9, 9, 0, 0, 0
rev_f810c-cfbb5, 5593, 76, 5505, 5, 12, 11, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 7, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_1683b-36a26, 5588, 45, 5539, 2, 4, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_0f674-d1a9a, 5794, 651, 4146, 995, 997, 997, 570, 3, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 8025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5327, 5327, 0, 0, 379, 0, 0, 0, 8645, 0, 0, 0, 0, 0, 0, 5327, 5327, 0, 0, 0
rev_886d2-443c0, 5466, 9, 5452, 3, 5, 5, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 17, 16, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_92a1e-d5398, 5361, 1, 5359, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_efeb9-2ba7d, 5422, 25, 5392, 4, 5, 5, 7, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 3, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0
rev_50e57-4775c, 5389, 67, 5271, 50, 51, 51, 33, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 152, 152, 0, 0, 17, 0, 0, 0, 727, 0, 0, 0, 0, 0, 0, 152, 152, 0, 0, 0
rev_fe398-3a11b, 5363, 52, 5307, 3, 4, 4, 9, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_45ee0-99094, 5515, 129, 5272, 111, 114, 114, 138, 52, 0, 0, 0, 0, 0, 0, 36, 15, 0, 0, 695, 0, 0, 0, 0, 0, 0, 0, 201, 200, 0, 0, 98, 98, 0, 0, 39, 13, 0, 0, 1864, 0, 0, 0, 0, 0, 0, 98, 98, 0, 0, 0
rev_4e196-97613, 5512, 21, 5487, 3, 4, 4, 3, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_6b0b1-98396, 5508, 162, 5233, 104, 113, 113, 122, 54, 0, 0, 0, 0, 0, 0, 27, 15, 0, 0, 728, 0, 0, 0, 0, 0, 0, 0, 211, 210, 0, 0, 91, 91, 0, 0, 35, 13, 0, 0, 1883, 0, 0, 0, 0, 0, 0, 91, 91, 0, 0, 0
rev_87639-a5605, 5451, 1, 5449, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_249d3-c2f92, 5473, 30, 5439, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
