Merge_scenario, Total_Files, Files_Edited_By_One_Dev, Files_That_Remained_The_Same, Files_Added_By_Ove_Dev, Files_Merged, Files_With_Conflicts, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
rev_f1da2-3ac4d, 5957, 115, 5840, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_2b941-74d64, 5957, 250, 5665, 37, 42, 39, 21, 6, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 16, 0, 0, 0, 535, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_4425c-e9396, 5936, 371, 5473, 89, 92, 89, 79, 18, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0, 399, 0, 0, 0, 0, 0, 0, 0, 11, 11, 0, 0, 5, 5, 0, 0, 66, 9, 0, 0, 1107, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0
rev_851af-89769, 5959, 175, 5776, 5, 8, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_394e5-dbb01, 6066, 137, 5919, 1, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_7d887-86f20, 6007, 671, 5182, 129, 154, 143, 119, 15, 0, 0, 0, 0, 0, 0, 12, 4, 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 38, 38, 0, 0, 16, 16, 0, 0, 100, 10, 0, 0, 1839, 2, 2, 0, 0, 0, 0, 14, 14, 0, 0, 0
rev_19731-c8d1f, 6058, 130, 5797, 56, 131, 109, 70, 15, 0, 0, 0, 0, 0, 0, 35, 30, 0, 0, 565, 0, 0, 0, 0, 0, 0, 0, 76, 76, 0, 0, 6, 6, 0, 0, 88, 11, 0, 0, 1551, 4, 4, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_37b46-5b311, 6015, 241, 5715, 54, 59, 57, 55, 9, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 2, 2, 0, 0, 48, 6, 0, 0, 691, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_8fb1a-d4980, 6021, 346, 5615, 51, 60, 55, 52, 9, 0, 0, 0, 0, 0, 0, 7, 2, 0, 0, 289, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 2, 2, 0, 0, 45, 6, 0, 0, 673, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_ceab9-257f3, 6000, 129, 5869, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_6ea68-3fa3b, 5637, 1499, 3829, 306, 309, 306, 365, 207, 0, 0, 0, 0, 0, 0, 37, 25, 0, 0, 1724, 0, 0, 0, 0, 0, 0, 0, 338, 338, 0, 0, 39, 39, 0, 0, 311, 172, 0, 0, 4133, 0, 0, 0, 0, 0, 0, 39, 39, 0, 0, 0
rev_adaa9-40959, 6037, 569, 5390, 57, 78, 66, 55, 8, 0, 0, 0, 0, 0, 0, 9, 3, 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 15, 13, 0, 0, 2, 2, 0, 0, 50, 6, 0, 0, 894, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_56212-564e1, 5995, 147, 5845, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_e370b-b4ada, 5979, 293, 5671, 12, 15, 12, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_d49a7-2c618, 5917, 383, 5460, 54, 74, 63, 54, 10, 0, 0, 0, 0, 0, 0, 9, 4, 0, 0, 314, 0, 0, 0, 0, 0, 0, 0, 29, 29, 0, 0, 2, 2, 0, 0, 48, 7, 0, 0, 820, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_80b59-5ae00, 5668, 926, 4493, 239, 249, 240, 119, 1, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 0, 0, 110, 0, 0, 0, 3408, 0, 0, 0, 0, 0, 0, 17, 17, 0, 0, 0
