Merge_scenario, Total_Files, Files_Edited_By_One_Dev, Files_That_Remained_The_Same, Files_Added_By_Ove_Dev, Files_Merged, Files_With_Conflicts, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
rev_b1a2f-07029, 142, 52, 67, 20, 23, 21, 24, 11, 0, 0, 0, 0, 0, 0, 11, 4, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 16, 16, 0, 0, 3, 3, 0, 0, 8, 5, 0, 0, 294, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0
rev_70fb9-11754, 143, 15, 118, 9, 10, 10, 13, 5, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 1, 1, 0, 0, 4, 3, 0, 0, 219, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
rev_2b13b-8f68f, 142, 10, 129, 1, 3, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_c97b8-45fd1, 138, 0, 136, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_cb0eb-8e7a4, 132, 6, 79, 11, 47, 42, 10, 10, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 182, 0, 0, 0, 52, 52, 0, 0, 10, 1, 0, 0, 13, 13, 0, 0, 6, 6, 0, 0, 579, 4, 4, 0, 0, 0, 0, 9, 9, 0, 0, 0
rev_474db-3321e, 134, 8, 123, 2, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
